userid venueid
862021 4ef356e2c512c31f1bc1ea62
1619051 4161e400f964a520671d1fe3
1619051 4e5d31022271162c8fca7387
1619051 4f5ab21ce4b07bddeda204a7
1619051 41059b00f964a520850b1fe3
1619051 4b77133bf964a520b97a2ee3
1619051 4b2d0043f964a5201fcc24e3
1619051 4b005092f964a520b53c22e3
1619051 4388f700f964a5201d2b1fe3
1619051 4afb465ff964a5208a1c22e3
1619051 4fbebf76e4b0d6b3519c558c
55294163 4c0bd62dbbc676b00b184cd5
55294163 40b28c80f964a520c3fb1ee3
55294163 4c007d829cf52d7f0eec13e7
55294163 41059b00f964a520850b1fe3
55294163 51853a35498e72528af59d83
55294163 51853a35498e72528af59d83
469326 4c416857520fa59326a3c9ac
469326 4e7ef25fcc21959d5e77e33b
862021 4ef356e2c512c31f1bc1ea62
3780395 44db29bef964a52092361fe3
84618036 535bfbb3498ebb3fe2a20097
80817875 4e0c73d31838fa426ac808f7
80817875 4e0c73d31838fa426ac808f7
80817875 4df53a0845dd4e269346a9de
80817875 4ce80cfe9f776ea867b05b22
2566568 4a3d9649f964a5207da21fe3
2566568 49c1df70f964a520d9551fe3
29811458 4b12a7a2f964a520ea8b23e3
29811458 4fc7c071e4b06e4ecff8e93d
29811458 43e9f2f1f964a520252f1fe3
29811458 4b65eb87f964a52065082be3
29811458 4a24a1e2f964a5203c7e1fe3
29811458 43e9f2f1f964a520252f1fe3
29811458 43e9f2f1f964a520252f1fe3
29811458 5027114a3d7cb6202874669a
29811458 50f21340e4b036c5cc0d7c7d
29811458 43e9f2f1f964a520252f1fe3
29811458 4b65eb87f964a52065082be3
29811458 4ad28a33f964a52022e220e3
29811458 4cbbc039f50e224b1aa0fbfb
29811458 4ad159adf964a52028de20e3
29811458 45e6b309f964a5204c431fe3
29811458 4eb7023b0039f4f9edb4507d
29811458 4468f484f964a5204f331fe3
29811458 4a4ed3d9f964a5201faf1fe3
29811458 43e9f2f1f964a520252f1fe3
862021 4ef356e2c512c31f1bc1ea62
74569291 4e9d681e2c5b8638e5665daf
74569291 51111bdbe4b06f1f33d8aa55
74569291 4c16c0b296040f47e85c73a5
74569291 4f68ac19e4b050647557fa7e
74569291 4e9d681e2c5b8638e5665daf
74569291 51111bdbe4b06f1f33d8aa55
6668551 4a29c02af964a520ce951fe3
27161 4b5ce254f964a5203a4929e3
1203707 4b749c78f964a520a6e72de3
523845 4bdb6b812a3a0f479d00afb6
523845 4c2bc6e08ef52d7f7eee31ba
523845 4b968890f964a520bdd234e3
523845 4dbd94cf0cb691071cbd1046
523845 52daaabe498eaa3f085f570a
523845 4b1edd77f964a520b92024e3
471443 4b4cbc0ef964a52069bc26e3
471443 4b685a67f964a52059732be3
44614329 4bddb5c80ee3a59364522eb0
44614329 4af9d283f964a520821422e3
14099283 42814b00f964a52002221fe3
76392 3fd66200f964a52020e81ee3
3720364 4f32764a19836c91c7da26b0
3720364 4f9553a3e4b03828ff18c30f
3720364 485f7eecf964a520da501fe3
3720364 4b7a9666f964a52078322fe3
3720364 4ad4c00df964a5205ded20e3
3720364 4ad4c00df964a5205ded20e3
16055875 49e79ffdf964a520e3641fe3
12154528 508d71fae4b086e59ac0dc1a
29535130 4d80c441360b224b4befdf56
398295 4cae5172cbab236a20768f73
20286981 4acf3441f964a520b8d220e3
20286981 4b0dc7bcf964a520035023e3
20286981 45d9dac5f964a520f2421fe3
53684 40b7d280f964a52091001fe3
50295775 4a539474f964a52072b21fe3
48344609 512259d83d7c420f627dac30
561317 4be543a7d4f7c9b62f332520
561317 505fde06e4b09c8e442ffc8a
35273 4b03a460f964a520f34f22e3
35273 4ab20257f964a520a96a20e3
2533361 4ad6567af964a520a60621e3
2533361 4bbc1216e436ef3b33395664
2533361 4db339bb93a017099dbf7231
2533361 4aeca150f964a520a7c921e3
2533361 4df0b3a8fa76042fed6f4b0b
2533361 4a3b08fdf964a52086a01fe3
2533361 4a55c1f7f964a52046b41fe3
245591 4d44f11de198721ea379c18b
245591 40db6b00f964a5207d011fe3
1001216 49e03a9df964a52047611fe3
1001216 4a2578a8f964a520567e1fe3
1001216 43eb7d31f964a520392f1fe3
1001216 43f4dc37f964a5209f2f1fe3
1001216 519ec122498e505febe8df9b
1001216 51a00442498ef989edb82b7c
1001216 4e555696d4c0c50afda6168f
1001216 4ee0ecde29c2c6e332924109
1001216 4b5f8ea2f964a52080c129e3
46688752 53471cf1498ed6f23f071ed1
46688752 523bc00411d20b49a72fc444
46688752 4ce74d7d0f196dcb1cb13dae
46688752 4ce74d7d0f196dcb1cb13dae
46688752 4ab6d922f964a520497920e3
46688752 4b1dc883f964a520431524e3
7018499 529622ef11d20a5e59bd09e4
7018499 4e1ffee9628469a574066a4e
1014741 49ee2410f964a52029681fe3
42226785 4cfafece7f2db1f7081f2bd4
7979076 4b078937f964a52087fe22e3
7979076 5334524a498ef09c24f38dcc
7979076 5334524a498ef09c24f38dcc
7979076 4fc6bf6be4b08b663d8bb6d7
276531 4bf21efd3fa220a102191920
10232260 4b494dddf964a520f36c26e3
